prevalence,calibration,fp_cost_regime,capacity,best_policy,best_mean_cost,near_equivalent_policies,seed_win_rate_of_best,status
low,temperature_T2.5,high,500,A_fixed_threshold_fifo,374012.452,"A_fixed_threshold_fifo,D1_cost_aware_topk,D2_cost_aware_abstention",0.8,near_equivalent
low,temperature_T2.5,high,1000,A_fixed_threshold_fifo,373410.257,A_fixed_threshold_fifo,1.0,clear_winner
low,temperature_T2.5,high,2000,A_fixed_threshold_fifo,370489.31100000005,A_fixed_threshold_fifo,1.0,clear_winner
low,temperature_T2.5,high,5000,A_fixed_threshold_fifo,365082.052,A_fixed_threshold_fifo,1.0,clear_winner
low,temperature_T2.5,high,10000,A_fixed_threshold_fifo,368545.61,A_fixed_threshold_fifo,1.0,clear_winner
low,temperature_T2.5,low,500,D1_cost_aware_topk,332316.895,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
low,temperature_T2.5,low,1000,D1_cost_aware_topk,329327.82,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",0.6,near_equivalent_unstable
low,temperature_T2.5,low,2000,D1_cost_aware_topk,336178.67000000004,"C_expected_exposure,D1_cost_aware_topk,D2_cost_aware_abstention",1.0,near_equivalent
low,temperature_T2.5,low,5000,A_fixed_threshold_fifo,364424.931,A_fixed_threshold_fifo,1.0,clear_winner
low,temperature_T2.5,low,10000,A_fixed_threshold_fifo,364480.277,A_fixed_threshold_fifo,1.0,clear_winner
