prevalence,calibration,fp_cost_regime,capacity,policy,mean_cost,std_cost,n_seeds,ci95_low,ci95_high,interval_method,best_policy,best_mean_cost,abs_diff_from_best,pct_diff_from_best,near_eq_1pct,near_eq_0.005,near_eq_0.01,near_eq_0.02
baseline,calibrated_by_construction_T1.0,low,5000,A_fixed_threshold_fifo,617995.3030000001,21403.998119436077,10,604728.9675220898,631261.6384779103,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,483771.485,134223.8180000001,0.27745293420921674,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,5000,B_topk_probability,602357.17,15132.373220037578,10,592978.0279073053,611736.3120926948,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,483771.485,118585.68500000006,0.24512747997125142,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,5000,C_expected_exposure,496328.541,6052.018257856797,10,492577.4612213927,500079.6207786074,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,483771.485,12557.05600000004,0.025956585680117217,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,5000,D1_cost_aware_topk,493169.02800000005,6482.208285003912,10,489151.3136801477,497186.7423198524,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,483771.485,9397.543000000063,0.019425582721147906,False,False,False,True
baseline,calibrated_by_construction_T1.0,low,5000,D2_cost_aware_abstention,483771.485,8260.094736433119,10,478651.8252410442,488891.14475895575,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,483771.485,0.0,0.0,True,True,True,True
baseline,calibrated_by_construction_T1.0,low,10000,A_fixed_threshold_fifo,619837.863,23031.96735682341,10,605562.5017349268,634113.2242650732,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,484943.021,134894.842,0.27816637451928605,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,10000,B_topk_probability,687254.8230000001,13589.360516888064,10,678832.0500890083,695677.5959109919,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,484943.021,202311.80200000008,0.4171867482138692,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,10000,C_expected_exposure,591480.579,8251.131265662138,10,586366.4748577861,596594.683142214,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,484943.021,106537.55800000002,0.21969087786913427,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,10000,D1_cost_aware_topk,582074.466,7107.472905524138,10,577669.2086532793,586479.7233467207,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,484943.021,97131.445,0.2002945517180667,False,False,False,False
baseline,calibrated_by_construction_T1.0,low,10000,D2_cost_aware_abstention,484943.021,10188.437832442396,10,478628.1618074888,491257.8801925112,normal_approx_mean_pm_1.96_se,D2_cost_aware_abstention,484943.021,0.0,0.0,True,True,True,True
