condition,policy_label,delta_name,ref_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,ref_mean_cost,practical_band_abs,ci_within_1pct_practical_band,mean_cost
VALUE_NOISE_LOW,D2_estimated,vs_B,B_topk_probability,20,19,-78371.93350000001,8647.392163479271,1933.6156705638625,-82419.03761047094,-74324.82938952908,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,577403.281
VALUE_NOISE_LOW,D2_estimated,vs_C,C_expected_exposure,20,19,-5867.423499999993,3346.505762451138,748.3014371935507,-7433.636407994369,-4301.2105920056165,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,577403.281
VALUE_NOISE_HIGH,B_topk_probability,vs_d1_oracle,D1_oracle,20,19,77954.3205,9486.918746113663,2121.3395213327217,73514.30585428371,82394.3351457163,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,655775.2145
VALUE_NOISE_HIGH,B_topk_probability,vs_C,C_expected_exposure,20,19,72504.51000000001,9826.294665816431,2197.226283970912,67905.66253467082,77103.3574653292,excludes_0_positive,2.093024054408263,583270.7045,5832.707045,False,655775.2145
VALUE_NOISE_HIGH,C_expected_exposure,vs_d1_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,583270.7045
VALUE_NOISE_HIGH,C_expected_exposure,vs_B,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,583270.7045
VALUE_NOISE_HIGH,D1_oracle,vs_B,B_topk_probability,20,19,-77954.3205,9486.918746113663,2121.3395213327217,-82394.3351457163,-73514.30585428371,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,577820.8940000001
VALUE_NOISE_HIGH,D1_oracle,vs_C,C_expected_exposure,20,19,-5449.810499999992,2586.76840745456,578.419000111727,-6660.455380760613,-4239.165619239372,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,577820.8940000001
VALUE_NOISE_HIGH,D2_oracle,vs_d1_oracle,D1_oracle,20,19,-1926.8000000000116,1928.5502234798505,431.23693977233563,-2829.3892880929175,-1024.2107119071056,excludes_0_negative,2.093024054408263,577820.8940000001,5778.208940000001,True,575894.0939999999
VALUE_NOISE_HIGH,D2_oracle,vs_B,B_topk_probability,20,19,-79881.1205,9320.67747429534,2084.1668428875428,-84243.33183556376,-75518.90916443625,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,575894.0939999999
VALUE_NOISE_HIGH,D2_oracle,vs_C,C_expected_exposure,20,19,-7376.610500000004,3006.5568287319174,672.286544726076,-8783.722409566697,-5969.498590433311,excludes_0_negative,2.093024054408263,583270.7045,5832.707045,False,575894.0939999999
VALUE_NOISE_HIGH,D1_estimated,vs_d1_oracle,D1_oracle,20,19,11291.292499999987,3588.7676736097046,802.4728473645077,9611.697527456581,12970.887472543393,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,589112.1865000001
VALUE_NOISE_HIGH,D1_estimated,vs_B,B_topk_probability,20,19,-66663.028,8502.690899980838,1901.2594844026019,-70642.40983452651,-62683.64616547351,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,589112.1865000001
VALUE_NOISE_HIGH,D1_estimated,vs_C,C_expected_exposure,20,19,5841.4819999999945,4348.60197198158,972.376961644045,3806.2736293265875,7876.690370673401,excludes_0_positive,2.093024054408263,583270.7045,5832.707045,False,589112.1865000001
VALUE_NOISE_HIGH,D2_estimated,vs_d1_oracle,D1_oracle,20,19,8155.854499999992,4241.888777215651,948.5151658847657,6170.589441832134,10141.119558167851,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,585976.7485
VALUE_NOISE_HIGH,D2_estimated,vs_B,B_topk_probability,20,19,-69798.46599999999,8630.65769336899,1929.8737292904598,-73837.7381373755,-65759.19386262447,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,585976.7485
VALUE_NOISE_HIGH,D2_estimated,vs_C,C_expected_exposure,20,19,2706.0440000000003,5056.16900999104,1130.5937612067778,339.6840620303028,5072.403937969698,excludes_0_positive,2.093024054408263,583270.7045,5832.707045,True,585976.7485
FP_COST_NOISE_LOW,B_topk_probability,vs_d1_oracle,D1_oracle,20,19,77954.3205,9486.918746113663,2121.3395213327217,73514.30585428371,82394.3351457163,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,655775.2145
FP_COST_NOISE_LOW,B_topk_probability,vs_C,C_expected_exposure,20,19,72504.51000000001,9826.294665816431,2197.226283970912,67905.66253467082,77103.3574653292,excludes_0_positive,2.093024054408263,583270.7045,5832.707045,False,655775.2145
FP_COST_NOISE_LOW,C_expected_exposure,vs_d1_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,577820.8940000001,5778.208940000001,False,583270.7045
FP_COST_NOISE_LOW,C_expected_exposure,vs_B,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,655775.2145,6557.752145,False,583270.7045
