condition,comparison,left_policy,right_policy,paired_n,paired_df,paired_mean,paired_sd,paired_se,paired_ci95_low,paired_ci95_high,paired_zero_status,paired_t_crit,paired_interval_method,left_mean_cost,right_mean_cost,relative_pct_of_right_mean,practical_band_abs,practical_class,practical_band_note
REVIEW_EFFECTIVENESS_OPTIMISM,estimation_penalty_D1,D1_est,D1_oracle,20,19,366.12399999999906,1425.2296192447927,318.69103121774987,-300.9039942629261,1033.1519942629243,includes_0,2.093024054408263,student_t_df_n_minus_1,578187.0179999999,577820.8940000001,0.06336288697791517,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,estimation_penalty_D2,D2_est,D2_oracle,20,19,2245.9100000000035,2140.426122894324,478.61383116080276,1244.1597386079484,3247.6602613920586,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,578140.0039999998,575894.0939999999,0.3899866352857586,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_OPTIMISM,delta_C_oracle_minus_D1_oracle,C_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583270.7045,577820.8940000001,0.9431660496513634,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,delta_C_est_minus_B,C_est,B_topk_probability,20,19,-72504.51000000001,9826.294665816431,2197.226283970912,-77103.3574653292,-67905.66253467082,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,583270.7045,655775.2145,-11.056305330978624,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,delta_D1_est_minus_B,D1_est,B_topk_probability,20,19,-77506.4325,9697.870568899916,2168.509782905477,-82045.1756378408,-72967.68936215919,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,578268.782,655775.2145,-11.819054881343034,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,delta_D2_est_minus_B,D2_est,B_topk_probability,20,19,-76453.343,8694.854167813164,1944.2284973677597,-80522.66001225675,-72384.02598774324,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,579321.8715,655775.2145,-11.658467918506547,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,delta_D1_est_minus_C_est,D1_est,C_est,20,19,-5001.922499999998,2964.5547431148916,662.8945928624324,-6389.376828398241,-3614.468171601755,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,578268.782,583270.7045,-0.8575644998813751,5832.707045,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,delta_D2_est_minus_C_est,D2_est,C_est,20,19,-3948.832999999996,4296.999252994215,960.838242896088,-5959.890554776877,-1937.7754452231145,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,579321.8715,583270.7045,-0.6770154868973015,5832.707045,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,delta_D2_est_minus_D1_est,D2_est,D1_est,20,19,1053.0895000000019,4128.210019474447,923.0958228940594,-878.9722618410542,2985.151261841058,includes_0,2.093024054408263,student_t_df_n_minus_1,579321.8715,578268.782,0.1821107299546393,5782.68782,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,estimation_penalty_C,C_est,C_oracle,20,19,0.0,0.0,0.0,0.0,0.0,includes_0,2.093024054408263,student_t_df_n_minus_1,583270.7045,583270.7045,0.0,5832.707045,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,estimation_penalty_D1,D1_est,D1_oracle,20,19,447.88799999999463,1601.2959858505324,358.06066764593317,-301.541590320426,1197.3175903204153,includes_0,2.093024054408263,student_t_df_n_minus_1,578268.782,577820.8940000001,0.07751329255324481,5778.208940000001,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,estimation_penalty_D2,D2_est,D2_oracle,20,19,3427.7775000000083,3416.650306621326,763.9862340950784,1828.735934802227,5026.819065197789,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,579321.8715,575894.0939999999,0.5952096983998605,5758.9409399999995,ci_within_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
REVIEW_EFFECTIVENESS_PESSIMISM,delta_C_oracle_minus_D1_oracle,C_oracle,D1_oracle,20,19,5449.810499999992,2586.76840745456,578.419000111727,4239.165619239372,6660.455380760613,excludes_0_positive,2.093024054408263,student_t_df_n_minus_1,583270.7045,577820.8940000001,0.9431660496513634,5778.208940000001,mean_within_1pct_band_ci_not,"1% is a project-defined practical threshold, not an industry standard"
JOINT_MODERATE_MISSPECIFICATION,delta_C_est_minus_B,C_est,B_topk_probability,20,19,-66455.293,9243.411074953297,2066.889550756998,-70781.34254753949,-62129.24345246052,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,589319.9214999999,655775.2145,-10.133852504728967,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
JOINT_MODERATE_MISSPECIFICATION,delta_D1_est_minus_B,D1_est,B_topk_probability,20,19,-71767.6695,9024.860853022366,2018.0202354834748,-75991.43439514954,-67543.90460485047,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,584007.545,655775.2145,-10.943943582058026,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
JOINT_MODERATE_MISSPECIFICATION,delta_D2_est_minus_B,D2_est,B_topk_probability,20,19,-72822.09650000001,9022.687212704292,2017.5341947324898,-77044.84410016632,-68599.34889983371,excludes_0_negative,2.093024054408263,student_t_df_n_minus_1,582953.118,655775.2145,-11.104734501977738,6557.752145,outside_1pct_practical_band,"1% is a project-defined practical threshold, not an industry standard"
